Gene	Sample_14_SS_18_2698	Sample_12_SS_18_4268	Sample_26_SB_20_5744	X27_sb_19_5484	sb_19_6002	Sample_35_SB_18_6513	CL0191_T1R_T	Sample_2_WS_18_051587	Sample_41_CN20_33_A1_B1	Sample_39_S18_11654	Sample_28_SB_20_399	Sample_48_ASP19_05374	Sample_49_NC_20_182_A1	X16_sb_19_5365	Sample_45_RA_023_11	Sample_39_SF_20_216_A1	Sample_47_WS_20_4104	Sample_41_RS_20_1704	Sample_25_SB_20_5907	Sample_23_SB_20_788	Sample_34_SB_18_7364	Sample_10_SS_18_5516	Sample_11_SS_18_5261	Sample_1_WS20_3053
A1BG	89.9956	13.8385	8.07766	44.1303	2.89164	4.78466	1.75817	11.8427	9.95976	8.89837	7.25069	1.52422	6.81932	34.5785	7.69896	27.4771	9.26641	10.9735	3.38534	3.42378	11.8843	33.6401	4.30975	0.815886
A1CF	1.77447	0.0240078	0.0128866	3.0493	0.0196204	4.87522	0.0126355	0.0232294	1.30536	0.0143946	0.0680232	0.0970849	0.109676	3.5518	0.103648	2.00512	0.0595941	0.117901	0.0271206	0.00839841	0.0128311	0.573231	0.00666983	0.0083626
A2M	52.2136	47.5059	178.645	19.8432	28.8319	64.0805	43.6117	54.1597	11.9146	14.8542	23.8178	31.271	9.21183	19.4887	39.3575	32.8919	28.1279	10.7361	9.27346	110.388	6.25288	17.772	32.3327	12.0093
A2ML1	0.208628	0.241616	0.0594885	14.1843	0.0775482	0.104209	0.0292358	0.16051	5.66041	0.0375481	0.17177	0.26246	0.041491	14.7773	0.0116195	1.4099	0.866817	0.805433	0.18405	5.04867	0.090912	0.0950099	0.121265	0.0134812
A3GALT2	0.697101	0.226922	0.330848	17.166	0.243883	0.162077	0.0702001	0.335213	2.52393	0.120447	0.454907	0.415524	1.32149	15.586	0.0326957	1.01744	0.524868	4.07868	0.850168	0.10771	0.722074	0.210864	0.53927	1.05106
A4GALT	1.8724	1.99346	3.59332	7.05467	1.32791	1.86526	2.99581	1.81546	7.08069	0.730763	1.10202	1.31106	0.835773	4.79141	1.0748	1.4311	3.81573	0.467443	0.413727	2.36122	0.438161	0.459707	10.3575	1.27041
A4GNT	0.192973	0.348225	0.106184	21.9217	0.152784	0.489816	0.164408	0.0417712	15.8328	0.1048	0.151727	0.0379795	0.0292121	15.05	0	1.73671	0.361731	0.177583	0.0168657	0.204616	0	0.0132798	0.00663652	0.0978921
AAAS	34.0119	36.3542	28.9841	27.2885	32.2513	40.2768	31.5352	33.6105	70.2384	28.845	41.9755	25.213	25.0696	25.5472	17.2699	16.8133	20.5176	35.9556	25.9113	31.6863	50.9831	30.9995	35.8759	20.1407
AACS	4.8416	2.88876	3.74319	9.35884	1.75776	3.88047	6.4595	6.71832	2.27733	2.63573	6.39907	2.06701	5.6675	9.32812	1.96937	2.91417	5.15059	2.02551	1.21279	1.45654	5.19193	16.5541	4.58557	2.35684
AADAC	10.022	0.139271	0.043269	11.2176	0.155309	0.0755773	0.034811	0.257275	5.19276	0.0964027	0.899947	0.0396253	0.0100142	9.70724	0.254223	9.80176	0.362597	0.0172178	0.020236	0.020615	0.0382956	1.72083	1.5169	0.127732
AADACL2	0.0273679	0.514286	0.0513047	7.01406	0.159665	0.0297224	0.0366897	3.39478	4.41294	0.00662643	0.742461	0.0297567	0.0897144	6.16699	0.00205059	0.125032	0.13535	0	0.00473958	0.0237027	0.00403623	0.0839673	1.43301	0.317993
AADACL3	0	0.00346028	0.00137367	16.1878	0.0349186	0.00128922	0.099464	0	8.17571	0	0.00271386	0.0475522	0	15.1483	0	0.741686	0.268427	0	0	0	0.0131304	0.00682894	0.0257851	0.00167799
AADACL4	0	0.00452953	0.000770635	10.6654	0	0.0169965	0.00371997	0.00535576	8.18051	0.0214993	0.00355246	0.046367	0.00561821	10.3633	0.00332655	0.657803	0.186694	0.00827965	0.00144164	0.0351471	0	0.00638509	0.00850912	0.0103549
AADAT	3.33458	6.52154	3.65138	8.06549	1.03801	4.23323	2.89545	4.03445	1.8782	3.42725	2.27666	3.09501	0.617236	9.1417	1.41788	11.6098	7.44654	2.68323	1.50973	2.48317	2.45446	1.91479	1.67009	2.36394
AAED1	0.480212	1.65354	2.73027	6.74319	1.2751	1.4144	1.14094	2.48853	1.9731	0.589298	1.48378	2.05004	1.1894	6.65471	1.30275	0.717847	2.34124	0.50729	0.649809	1.46685	0.876255	0.622277	0.698791	0.590929
AAGAB	3.56097	4.15366	3.21823	5.07643	2.97962	4.5024	5.12644	4.16297	2.40776	5.50743	4.81332	8.83717	6.78262	6.11234	4.66352	5.21343	6.12748	4.96107	6.9911	3.08595	4.76475	7.38798	4.21176	4.31155
AAK1	2.25748	4.15981	2.60464	4.25304	1.08965	2.4697	2.29179	2.69054	1.95891	1.06742	2.18338	2.63446	2.05245	4.59418	1.94111	3.04662	2.14419	1.45454	0.942908	5.69279	1.47883	1.89851	1.88734	0.690818
AAMDC	1.7096	1.36913	1.75425	4.7119	0.836674	1.36943	2.12196	2.12577	2.25202	0.740344	1.51737	1.68741	1.0703	4.21766	0.552006	2.57484	2.3275	1.06823	1.43819	0.951683	1.99374	1.06176	1.10832	1.01748
AAMP	26.6007	34.3694	32.2203	43.4667	26.5695	85.0315	65.4248	52.8172	92.7213	37.2086	39.3901	32.9667	66.9664	38.8344	40.2951	49.3494	54.281	79.121	71.5092	56.5118	86.7746	86.0798	67.2988	73.985
AANAT	0.155737	0.0513222	0.0517985	8.75921	0.0307233	0.0719483	0.0850133	0.0446387	1.31011	0.328757	0.0825495	0.16394	0.307499	8.18748	0.0223595	0.406579	0.144428	0.0853331	0.0794583	0.111458	0.0264066	0.0480677	0.2059	0.0873174
AAR2	2.72704	2.55048	2.16395	7.37522	2.28717	4.01498	3.63642	2.74087	3.1375	2.32647	1.90471	1.35314	1.48411	5.60089	1.87886	1.12167	1.06159	1.84358	2.31969	2.20266	2.03167	1.88357	2.56024	1.99743
AARD	0.0596707	0.394254	0.0386678	6.64419	0	0.0583237	0.0133325	0.0652638	1.42831	0.168557	0.0309209	0.0591878	0.189853	6.12865	0.00596123	0.105596	0.615462	5.2252	0.0387517	0.0366063	0.0528016	0	0.0182982	0.296899
AARS	48.5265	37.1379	41.4725	19.3898	35.2051	24.7267	53.8803	37.2369	23.2908	27.8056	46.4263	26.8268	97.3221	18.1718	43.4948	45.6674	94.8307	65.9784	46.0628	39.2962	29.4353	91.0394	33.8836	30.2006
AARS2	31.3262	45.1985	22.0185	69.0834	23.5283	27.6813	21.3131	29.9656	37.3273	15.0384	19.3808	10.3514	17.5191	77.0197	7.98856	18.9184	24.3062	31.5919	32.1678	16.4753	47.8727	19.6981	25.9575	14.8029
AARSD1	9.22529	8.39636	10.4012	20.8762	7.04152	9.04125	12.7545	10.3224	13.2487	10.3869	11.592	16.7664	11.8813	20.1426	4.31165	11.6092	11.6372	18.5815	59.173	9.91263	16.6395	18.171	9.56164	8.33813
AASDH	3.96004	12.958	4.63702	7.79247	4.6228	3.92567	4.05511	6.39671	2.75231	3.14551	5.32647	6.01844	1.98504	8.36301	2.83488	9.84047	8.10237	1.78831	3.5431	4.37489	1.7192	2.33268	2.01607	2.80842
AASDHPPT	2.00893	1.90781	3.14997	6.62774	1.12241	3.09221	5.18045	3.62209	1.10123	2.92563	3.32472	4.36284	2.25646	5.63859	2.05784	4.50791	3.24296	3.0655	5.42859	2.11884	2.89481	2.96521	2.51375	2.04502
AASS	4.61086	12.5268	5.71588	7.08099	4.92579	13.2447	4.49636	4.47213	10.0918	2.81673	2.42331	4.81643	2.03221	9.96405	3.76382	8.5033	6.39957	1.86984	0.449301	4.70929	3.81174	1.25689	3.73536	1.11201
AATF	5.46747	3.73267	2.73587	3.54424	2.08616	3.75058	5.69873	6.50514	2.92851	5.21235	3.19493	7.46646	5.09886	4.29078	2.7346	8.96324	7.5792	8.27992	4.32461	3.80439	4.99809	6.21645	5.7043	6.923
AATK	1.98822	0.428735	0.216846	11.9032	0.751252	0.68172	0.430559	0.412765	1.59192	2.49025	1.04463	0.0551734	0.361197	11.0175	0.250534	0.84374	0.467926	0.182034	0.179848	0.100908	0.509395	1.01428	1.0576	2.13647
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABAT	6.55362	0.450766	0.991418	6.00113	9.75853	4.84495	3.14399	1.44278	6.7593	2.63995	3.6057	0.747903	2.27081	5.94371	5.68192	3.16675	6.57673	0.685207	0.361687	0.937824	5.43482	1.58244	2.313	1.75977
ABCA1	11.6558	17.9408	13.7228	10.5921	19.686	7.09695	3.93825	8.3338	19.1012	2.92636	6.34253	10.2529	5.00185	11.5083	3.35725	6.53326	22.8648	4.25377	5.82067	25.9126	1.93472	5.52666	6.42957	6.35365
ABCA10	1.41255	0.570508	3.36663	7.18994	1.1001	0.757726	0.597731	1.01488	2.01154	0.477421	0.622835	1.2536	0.551986	7.88158	0.167036	3.21412	3.35802	0.0962111	0.0795448	2.64545	0.831593	0.298651	1.50438	0.204938
ABCA12	3.51168	1.95138	0.797195	5.56402	0.681355	0.319011	0.470738	1.38768	4.87387	0.249311	0.484346	0.135771	4.98377	7.10803	1.25335	2.05291	3.084	0.274525	0.231591	10.4359	0.706233	0.35144	0.444337	5.06108
ABCA13	0.620963	3.16715	0.00996145	4.28645	0.401316	0.146022	0.0105682	1.78259	3.03439	0.0010816	0.0628608	0.0544047	0.186782	6.62516	0.00830859	0.154707	0.671365	0.00189483	0.0018089	0.0842049	0.0674315	0.00828379	12.4766	8.39304
ABCA2	26.296	6.51004	35.7826	85.0748	13.8034	69.7308	38.7956	31.8868	24.7134	23.5334	33.5728	9.6137	10.4945	76.4077	16.065	22.6513	35.9286	14.6774	6.10172	30.0529	32.9681	34.7594	26.7034	16.6392
ABCA3	12.6484	2.42028	7.20742	19.7698	7.8281	5.75536	35.3988	8.26158	9.83206	11.7701	7.09866	1.05323	15.4225	16.7752	3.70128	6.22131	7.00603	35.0968	7.49495	6.69749	2.75504	32.598	6.07474	14.345
ABCA4	0.400966	0.077758	0.145408	16.0495	0.0369968	0.274714	0.115677	0.140386	16.9128	0.0951359	0.0321864	0.172963	0.105331	15.7141	0.0227925	2.474	0.431651	0.0544266	0.0160829	0.697701	0.061687	0.0753825	0.620841	0.0555682
ABCA5	12.9548	6.45596	18.2424	5.5773	15.8608	4.51113	6.24559	14.4224	4.94684	3.09541	8.79552	9.40004	8.43564	6.60826	2.78326	58.5483	39.3755	0.766027	2.05251	3.04713	8.19822	5.42645	7.00611	9.32345
ABCA6	3.12467	2.34679	7.59906	11.3676	1.55015	2.36507	2.35075	2.10881	3.59792	1.15182	0.922904	4.01718	0.760708	11.7802	0.869809	4.50942	2.13897	0.135123	0.0622255	5.42741	0.747134	1.17802	3.24177	0.122902
ABCA7	16.6663	5.63202	17.9477	51.885	5.02847	3.28033	14.283	12.9894	13.2178	3.48032	9.20519	7.50285	20.4195	41.7356	6.32735	12.2222	8.87427	9.46659	8.76085	12.2146	11.0833	29.4179	25.0587	4.21997
