Gene_Id	CP08174_T1R_T-ENSEMBL	CP09800_T1R_T-ENSEMBL	CP07805_T1R_T-ENSEMBL	CP07552_T1R_T-ENSEMBL	CP06649_T1R_T-ENSEMBL	CP10449_T1R_T-ENSEMBL	CP07152_T1R_T-ENSEMBL
A1BG	3.56	3.54	7.24	1.9	1.48	5.26	5.47
A1CF	2.76	1.31	5.51	0.01	0.28	3.35	2.87
A2M	6.84	8.05	8.54	8.11	6.42	6.97	7.32
A2ML1	3.23	0.96	3.94	0.01	0.1	5.6	0.01
A3GALT2	3.98	0.53	0	0	0.06	0.79	0
A4GALT	4.11	3.15	4.68	1.4	0.88	5.33	1.97
A4GNT	2.76	1.24	0.26	0.03	0.6	0.65	0.08
AAAS	6.52	6.32	5.19	5.64	5.02	5.24	5
AACS	5.42	6.9	2.44	3.78	2.95	5.21	2.59
AADAC	1.93	0.34	5.24	0.14	0.34	3.12	3.11
AADACL2	0.7	0.04	0.1	0.06	0.18	0.3	0
AADACL3	1.64	0.25	0.03	0	0.04	0.04	0.01
AADACL4	2.92	0.77	0.03	0.11	0.18	0.25	0.15
AADAT	2.09	3.33	2.52	2.9	3.5	2.3	1.42
AAGAB	5.14	6	4.1	5.93	5.2	5.19	4.53
AAK1	6.46	4.89	4.14	4.68	5.15	5.62	4
AAMDC	6.08	2.57	3.65	4.27	5.09	3.98	3.43
AAMP	5.41	4.98	5.36	5.4	6.39	6.07	5.67
AANAT	3.6	2.49	0.15	0.01	0.67	2	0.16
AAR2	6.5	4.03	2.31	2.56	2.4	3.51	2.05
AARD	1.57	0.15	0	0.08	0.79	0.69	0
AARS1	6.8	7.21	5.76	5.87	6.27	6.2	5.82
AARS2	5.22	3.77	1.77	2.68	2.79	2.86	2.82
AARSD1	5.7	6.01	4.06	5.13	5.36	5.72	4.47
AASDH	5.22	3.37	3.54	4.3	4.79	3.68	2.7
AASDHPPT	4.12	4.08	3.68	4.64	3.42	4.33	3.4
AASS	4.99	3.12	4.78	3.53	4.16	3.06	3.22
AATF	4.78	5.48	4.36	4.81	6	5.92	4.53
AATK	2.81	2.04	0.29	0.06	0.2	1	0.58
ABAT	3	3.91	5.42	1.56	2.83	2.92	3.87
ABCA1	5.13	4.01	5.96	4.7	4.46	5.33	4.48
ABCA10	2.66	1.78	2.45	2.33	0.77	1.5	1.36
ABCA12	2.2	3.31	2.38	1.24	7.08	1.98	0.24
ABCA13	3.64	1.4	1.07	0.32	0.61	3.98	0.08
ABCA2	7.37	8.91	4.68	4.69	5.8	8.05	4.42
ABCA3	3.96	6.68	2.11	4.19	3.14	4.77	1.84
ABCA4	4.41	2.04	0.95	0.65	0.93	1.41	0.66
ABCA5	4.84	5.86	3.6	6.29	5.09	4.09	3.03
ABCA6	3.11	2.11	4.79	3.03	1.89	2.95	3.76
ABCA7	6.55	6.38	2.51	2.92	3.58	5.17	2.12
ABCA8	5.02	2.91	4.39	2.19	0.95	2.23	2.94
ABCA9	2.67	1.93	1.88	1.97	0.41	1.32	1.66
ABCB1	7.54	3.34	4	2.27	2.44	2.58	3.82
ABCB10	3.74	4.28	3.31	3.58	3.99	3.02	2.28
ABCB11	3.13	0.43	3.59	0.04	0.88	1.59	1.92
ABCB4	6.39	2.96	4.79	3.22	2.49	4.2	4.82
ABCB5	3.93	0.59	0.14	0.06	0.39	0.26	0.04
ABCB6	6.75	5.59	2.81	3.72	4.36	5.23	2.57
ABCB7	5.36	4.63	4.3	5.4	6.66	3.88	4.55
